Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Chennai,inKolapakkam Vandalur Kelambakkam Road,Villa,4 BHK,1668 sqft,Furnish,Old Property,Ready to Move,,₹ 89 Lac,89.0,1668.0,5335.73
Chennai,inKundrathur Pallavaram Kundrathur Main Road,Villa,3 BHK,1430 sqft,Furnish,Old Property,Ready to Move,,₹ 1.25 Cr,125.0,1430.0,8741.26
Chennai,inKovur,Villa,2 BHK,1100 sqft,Furnish,Old Property,Ready to Move,,₹ 60 Lac,60.0,1100.0,5454.55
Chennai,inSelaiyur,Villa,3 BHK,1870 sqft,Furnish,Old Property,Ready to Move,,₹ 1.05 Cr,105.0,1870.0,5614.97
Chennai,inalliance huming gardens,Villa,2 BHK,550 sqft,Furnish,Old Property,Ready to Move,,₹ 65 Lac,65.0,550.0,11818.18
Chennai,inGuduvancheri,Villa,3 BHK,2100 sqft,Furnish,Old Property,Ready to Move,,₹ 70 Lac,70.0,2100.0,3333.33
Chennai,inGuduvancheri,Villa,2 BHK,1250 sqft,Unfurnish,Old Property,Ready to Move,₹ 4320 per sqft,₹ 54 Lac,54.0,1250.0,4320.0
Chennai,inVandalur Kelambakkam Road,Villa,3 BHK,1200 sqft,Unfurnish,New Property,Possession by Apr '22,,₹ 40 Lac,40.0,1200.0,3333.33
Chennai,inSemmancheri,Villa,3 BHK,1500 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.30 Cr,130.0,1500.0,8666.67
Chennai,inMambakkam,Villa,2 BHK,1200 sqft,Unfurnish,New Property,Ready to Move,,₹ 64.5 Lac,64.5,1200.0,5375.0
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,3 BHK,1588 sqft,Unfurnish,Old Property,Ready to Move,₹ 4660 per sqft,₹ 74 Lac,74.0,1588.0,4660.0
Chennai,inMahindra World City,Villa,3 BHK,2000 sqft,Furnish,Old Property,Ready to Move,,₹ 85 Lac,85.0,2000.0,4250.0
Chennai,inVanagaram,Villa,2 BHK,730 sqft,Unfurnish,Old Property,Possession by Jan '22,,₹ 65 Lac,65.0,730.0,8904.11
Chennai,inSriperumbudur,Villa,1 BHK,600 sqft,Unfurnish,Old Property,Ready to Move,,₹ 17.5 Lac,17.5,600.0,2916.67
Chennai,inMahindra World City,Villa,3 BHK,1470 sqft,Unfurnish,Old Property,Ready to Move,,₹ 55 Lac,55.0,1470.0,3741.5
Chennai,inKattankulathur GST Road,Villa,2 BHK,550 sqft,Unfurnish,New Property,Possession by Feb '22,,₹ 24.9 Lac,24.9,550.0,4527.27
Chennai,inMahindra World City,Villa,3 BHK,1350 sqft,Unfurnish,Old Property,Ready to Move,,₹ 52 Lac,52.0,1350.0,3851.85
Chennai,inKattupakkam PH Road,Villa,3 BHK,1950 sqft,Furnish,Old Property,Ready to Move,₹ 6153 per sqft,₹ 1.20 Cr,120.0,1950.0,6153.0
Chennai,inGerugambakkam Chennai Bypass Road,Villa,3 BHK,1250 sqft,Furnish,New Property,Ready to Move,,₹ 1.05 Cr,105.0,1250.0,8400.0
Chennai,inMangadu,Villa,2 BHK,800 sqft,Unfurnish,New Property,Ready to Move,,₹ 53 Lac,53.0,800.0,6625.0
Chennai,inThalambur,Villa,4 BHK,2000 sqft,Furnish,Old Property,Ready to Move,,₹ 1.15 Cr,114.99999999999999,2000.0,5750.0
Chennai,inKayarambedu,Villa,2 BHK,1250 sqft,Unfurnish,Old Property,Ready to Move,,₹ 42 Lac,42.0,1250.0,3360.0
Chennai,inIyyappanthangal,Villa,4 BHK,1000 sqft,Furnish,New Property,Ready to Move,,₹ 1.30 Cr,130.0,1000.0,13000.0
Chennai,inEast Coast Road,Villa,2 BHK,891 sqft,Unfurnish,Old Property,Ready to Move,,₹ 30 Lac,30.0,891.0,3367.0
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,3 BHK,2000 sqft,Unfurnish,Old Property,Ready to Move,₹ 3500 per sqft,₹ 70 Lac,70.0,2000.0,3500.0
Chennai,inRedhills,Villa,3 BHK,1000 sqft,Unfurnish,New Property,Ready to Move,,₹ 32 Lac,32.0,1000.0,3200.0
Chennai,inRevathipuram,Villa,2 BHK,150 sqft,Furnish,New Property,Ready to Move,,₹ 43.2 Lac,43.2,150.0,28800.0
