Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price
Chennai,Mahindra World City,Flat,2 BHK,612 sqft,Furnish,Old Property,Ready to Move,,₹ 33 Lac
Chennai,Mahabalipuram,Flat,2 BHK,1140 sqft,Furnish,Old Property,Ready to Move,₹ 10964 per sqft,₹ 1.25 Cr
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2 BHK,994 sqft,Unfurnish,New Property,Possession by Mar '22,₹ 3999 per sqft,₹ 39.8 Lac
Chennai,Kovilambakkam,Flat,2 BHK,691 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 61.4 Lac
Chennai,Poonamalle,Flat,4 BHK,1710 sqft,Unfurnish,New Property,Ready to Move,₹ 4433 per sqft,₹ 75.8 Lac
Chennai,Padur Old Mahabalipuram Road,Flat,3 BHK,1196 sqft,Unfurnish,New Property,Possession by Dec '21,,₹ 88 Lac
Chennai,Perumbakkam,Flat,2 BHK,900 sqft,Furnish,Old Property,Ready to Move,,₹ 63 Lac
Chennai,Karapakkam,Flat,2 BHK,1040 sqft,Furnish,New Property,Ready to Move,₹ 6250 per sqft,₹ 75 Lac
Chennai,Guduvancheri,Flat,2 BHK,777 sqft,Unfurnish,New Property,Possession by Jun '22,,₹ 45 Lac
Chennai,Thalambur,Flat,2 BHK,780 sqft,Unfurnish,New Property,Possession by Mar '24,,₹ 42 Lac
Chennai,Madipakkam,Flat,3 BHK,1150 sqft,Unfurnish,New Property,Ready to Move,₹ 5800 per sqft,₹ 66.7 Lac
Chennai,Guduvancheri,Flat,3 BHK,860 sqft,Unfurnish,New Property,Ready to Move,,₹ 57 Lac
Chennai,Nanmangalam,Flat,3 BHK,1020 sqft,Unfurnish,New Property,Ready to Move,,₹ 49.2 Lac
Chennai,Madipakkam,Flat,3 BHK,1155 sqft,Unfurnish,Old Property,Ready to Move,,₹ 85 Lac
Chennai,Kolathur,Flat,3 BHK,1456 sqft,Unfurnish,New Property,Possession by Oct '22,₹ 6788 per sqft,₹ 98.8 Lac
Chennai,KarthikeyaPuram Madipakkam,Flat,3 BHK,1490 sqft,Furnish,New Property,Possession by Jan '22,,₹ 93.9 Lac
Chennai,Kovur,Flat,2 BHK,1012 sqft,Unfurnish,New Property,Ready to Move,₹ 3999 per sqft,₹ 40.5 Lac
Chennai,Mogappair West,Flat,3 BHK,1141 sqft,Furnish,New Property,Ready to Move,,₹ 1.17 Cr
Chennai,Dharmarajapuram Kolapakkam,Flat,3 BHK,968 sqft,Unfurnish,New Property,Ready to Move,,₹ 87.5 Lac
Chennai,Karapakkam,Flat,3 BHK,1307 sqft,Unfurnish,New Property,Ready to Move,₹ 6495 per sqft,₹ 85 Lac
Chennai,Siruseri,Flat,2 BHK,822 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 4199 per sqft,₹ 34.5 Lac
Chennai,Sholinganallur,Flat,3 BHK,912 sqft,Furnish,New Property,Possession by Sep '24,,₹ 80 Lac
Chennai,Sholinganallur,Flat,3 BHK,1275 sqft,Furnish,Old Property,Ready to Move,,₹ 85 Lac
Chennai,Adambakkam,Flat,2 BHK,937 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 8684 per sqft,₹ 81.4 Lac
Chennai,Pammal,Flat,2 BHK,780 sqft,Unfurnish,New Property,Ready to Move,₹ 4800 per sqft,₹ 37.4 Lac
Chennai,Adambakkam,Flat,2 BHK,786 sqft,Unfurnish,New Property,Possession by Jan '22,,₹ 86 Lac
Chennai,Perungudi,Flat,1 BHK,600 sqft,Furnish,New Property,Possession by Dec '22,₹ 7667 per sqft,₹ 46 Lac
Chennai,Tiruvenkadam Nagar,Flat,3 BHK,907 sqft,Furnish,New Property,Ready to Move,,₹ 84 Lac
