Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,KarthikeyaPuram Madipakkam,Flat,3.0,Furnish,New Property,Jan 2022,93.9,1490.0,6302.01
Chennai,Kovur,Flat,2.0,Unfurnish,New Property,Dec 2021,40.5,1012.0,3999.0
Chennai,Mogappair West,Flat,3.0,Furnish,New Property,Dec 2021,117.0,1141.0,10254.16
Chennai,Dharmarajapuram Kolapakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,87.5,968.0,9039.26
Chennai,Karapakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,85.0,1307.0,6495.0
Chennai,Siruseri,Flat,2.0,Unfurnish,New Property,Dec 2021,34.5,822.0,4199.0
Chennai,Sholinganallur,Flat,3.0,Furnish,New Property,Sep 2024,80.0,912.0,8771.93
Chennai,Sholinganallur,Flat,3.0,Furnish,Old Property,Dec 2021,85.0,1275.0,6666.67
Chennai,Adambakkam,Flat,2.0,Unfurnish,New Property,Jun 2022,81.4,937.0,8684.0
Chennai,Pammal,Flat,2.0,Unfurnish,New Property,Dec 2021,37.4,780.0,4800.0
Chennai,Adambakkam,Flat,2.0,Unfurnish,New Property,Jan 2022,86.0,786.0,10941.48
Chennai,Perungudi,Flat,1.0,Furnish,New Property,Dec 2022,46.0,600.0,7667.0
Chennai,Tiruvenkadam Nagar,Flat,3.0,Furnish,New Property,Dec 2021,84.0,907.0,9261.3
Chennai,Sembakkam,Flat,3.0,Unfurnish,New Property,Mar 2022,64.4,923.0,6977.25
Chennai,Medavakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,48.0,800.0,6000.0
Chennai,Mogappair West,Flat,2.0,Unfurnish,New Property,Sep 2023,86.2,1288.0,6690.0
Chennai,Tiruvottiyur,Flat,3.0,Unfurnish,New Property,Dec 2021,48.0,1117.0,4300.0
Chennai,Thirumazhisai,Flat,3.0,Unfurnish,New Property,Mar 2024,29.2,620.0,4709.68
Chennai,Poonamallee,Flat,2.0,Unfurnish,New Property,Jan 2022,47.0,622.0,7556.27
Chennai,Pallikaranai,Flat,3.0,Unfurnish,New Property,Jan 2022,81.7,1080.0,7564.81
Chennai,Manapakkam,Flat,3.0,Unfurnish,New Property,Jul 2022,85.8,1027.0,8354.43
Chennai,Kottivakkam,Flat,2.0,Unfurnish,New Property,Mar 2022,85.3,1066.0,7999.0
